website,category,article_url
The Hindu,Sport,https://www.thehindu.com/sport/cricket/winning-at-edgbaston-will-be-one-of-my-happiest-memories-whenever-i-retire-shubman-gill/article69782541.ece
The Hindu,Sport,https://www.thehindu.com/sport/cricket/vaughan-urges-inconsistent-zak-crawley-to-learn-from-shubman-gill/article69782533.ece
The Hindu,Sport,https://www.thehindu.com/sport/cricket/stokes-rues-missed-chances-after-crushing-loss/article69781250.ece
The Hindu,Sport,https://www.thehindu.com/sport/motorsport/lando-norris-wins-thrilling-british-grand-prix-in-the-rain-to-cut-oscar-piastris-f1-lead/article69782075.ece
The Hindu,Sport,https://www.thehindu.com/sport/cricket/india-vs-england-second-test-in-birmingham-day-5-on-july-6-2025/article69779836.ece
The Hindu,Sport,https://www.thehindu.com/sport/cricket/for-akash-the-sky-is-the-limit/article69781211.ece
The Hindu,Sport,https://www.thehindu.com/sport/tennis/wimbledon-alcaraz-sabalenka-reach-quarterfinals/article69782229.ece
The Hindu,Sport,https://www.thehindu.com/sport/cricket/icc-appoints-sanjog-gupta-as-its-new-ceo/article69782534.ece
The Hindu,Sport,https://www.thehindu.com/sport/wimbledon-says-a-call-on-a-shot-that-landed-out-was-missed-because-the-electronic-system-was-off/article69781299.ece
